영화 제목,review,rating,date
히트맨2,설연휴에 가족들이랑 다같이 가볍게 즐기면서 볼수 있는 영화네요 재밌게 잘봤습니다~,10,2025.01.22. 11:33
히트맨2,나쁘지 않게 관람했습니다.호불호 심하게 갈릴 것 같네요.,7,2025.01.23. 11:26
히트맨2,,6,2025.01.22. 17:14
히트맨2,스포일러가 포함된 감상평입니다. 감상평보기,7,2025.01.22. 23:56
히트맨2,황우슬혜만 매력적임..,2,2025.01.23. 13:27
히트맨2,관객모독 수준의 저급함. 왜이렇게 악을 쓰냐. 이게 진짜 웃겨요?,2,2025.01.23. 14:25
히트맨2,재미있게 보고왔어요.,10,2025.01.23. 11:06
히트맨2,애니메이션 퀄리티가 생각보다 괜찮고 조화롭게 편집된 오락영화. 개그 타율은 아쉬움,6,2025.01.22. 23:01
히트맨2,1편보다는 재미가 덜 하네요.,8,2025.01.22. 22:20
히트맨2,1보고 너무 재밌어서 2나오자마자 보러 왔는데 역시나 재밌게 봤습니다!!!,10,2025.01.23. 11:21
히트맨2,저는 꽤 재미있게 봤어요 약간 유치할때도 있긴 한데 오히려 그게 제 유머코드랑 잘 맞아가지고 그런가? ㅋㅋㅋ등장인물간의 케미도 좋았고쉬는 김에 바람도 쇨 겸 나와가지고 가볍게 본건데 잘 고른거 같아요.,10,2025.01.22. 12:00
히트맨2,"권상우, 이이경, 정준호 등 유명 배우들의 연기가 정말 멋지고 재미있어요~!! 영화보는 내내 작품에 몰입해서, 흥미진진한 스토리에 빠져들게 되더라구요. 1편도 유쾌하게 봤는데 2편도 역시나 강추입니다^^ 이번 긴 구정 연휴 때 스트레스 풀며 영화보고 싶다면, 히트맨2를 추천합니다~!!♡",10,2025.01.22. 11:58
히트맨2,어처구니 없는 개그만 좀 빼지....볼만하고 재미있었습니다 히트맨2 응원합니다~!!!,10,2025.01.22. 11:14
히트맨2,그나마 애니메이션 나올때가 나름 볼만함.프렌차이즈 욕심에만 앞서서 개연성 없고 유치한 연출과 시나리오로 급조한듯한 영화. 1편이 선녀다.,5,2025.01.23. 00:01
히트맨2,더도 말고 덜도 말고 딱 설날 킬링타임 히트,4,2025.01.23. 02:01
히트맨2,,2,2025.01.22. 13:25
히트맨2,배우들 연기가 한명도 빠짐없이 좋았어요특히 이이경!시간가는 줄 모르고 봤습니다추천 추천,10,2025.01.22. 13:15
히트맨2,요즘 영화 볼만한게없어서 히트맨 보러 다녀왔어요 ^^ 생각없이 웃으면서 보기 좋은 영화임,10,2025.01.22. 13:07
히트맨2,가장 기억에 남는 건 후반부 클라이맥스에서 보여준 준의 성장과 액션 시퀀스였습니다. 웃음과 긴장감을 모두 잡으면서 깔끔하게 마무리한 점이 좋았습니다,10,2025.01.22. 11:18
히트맨2,"세련된 스토리 구성이 훌륭하고, 억지스러운 데 웃기고, 재미와 감동이 있는 독특한 매력이 있는 영화네요^^",10,2025.01.22. 23:30
히트맨2,원작도 재밌게 봐서 후속작 나오자마자 봤어요. 웃느라 시간가는 줄 모르고 재밌게 봤어요 ㅎㅎ 설 연휴에 가족이나 연인끼리 보기 좋을 것 같네여 배우분들 연기도 좋아서 편하게 잘봤습니다.,10,2025.01.22. 11:16
히트맨2,명불허전 역시는 역시 액션1편보다 더 볼만해요,10,2025.01.22. 12:57
히트맨2,난 존나 재밌던데 ㅋㅋㅋㅋ 1보다 재밌는 2편은 오랜만이었음ㅋㅋ계속 낄낄대면서 웃었는데 평이 안좋은 게 신기해,9,2025.01.23. 15:30
히트맨2,"과연 ‘준’은 예언자인가, 테러리스트인가.",6,2025.01.23. 15:26
